source,target,length,relation,
108,78,150,r_dns_a,
109,78,150,r_dns_a,
110,78,150,r_dns_a,
78,27,60,r_asn,
81,11,60,r_cidr,
111,81,150,r_dns_a,
112,81,150,r_dns_a,
113,81,150,r_dns_a,
114,81,150,r_dns_a,
115,81,150,r_dns_a,
116,81,150,r_dns_a,
117,81,150,r_dns_a,
118,81,150,r_dns_a,
119,81,150,r_dns_a,
120,81,150,r_dns_a,
121,81,150,r_dns_a,
122,81,150,r_dns_a,
81,27,60,r_asn,
83,11,60,r_cidr,
123,83,150,r_dns_a,
124,83,150,r_dns_a,
125,83,150,r_dns_a,
126,83,150,r_dns_a,
127,83,150,r_dns_a,
128,83,150,r_dns_a,
129,83,150,r_dns_a,
130,83,150,r_dns_a,
131,83,150,r_dns_a,
132,83,150,r_dns_a,
133,83,150,r_dns_a,
134,83,150,r_dns_a,
135,83,150,r_dns_a,
136,83,150,r_dns_a,
83,27,60,r_asn,
84,11,60,r_cidr,
137,84,150,r_dns_a,
138,84,150,r_dns_a,
139,84,150,r_dns_a,
140,84,150,r_dns_a,
141,84,150,r_dns_a,
142,84,150,r_dns_a,
143,84,150,r_dns_a,
144,84,150,r_dns_a,
145,84,150,r_dns_a,
146,84,150,r_dns_a,
147,84,150,r_dns_a,
148,84,150,r_dns_a,
149,84,150,r_dns_a,
150,84,150,r_dns_a,
151,84,150,r_dns_a,
152,84,150,r_dns_a,
153,84,150,r_dns_a,
154,84,150,r_dns_a,
86,11,60,r_cidr,
155,86,150,r_dns_a,
156,86,150,r_dns_a,
157,86,150,r_dns_a,
158,86,150,r_dns_a,
159,86,150,r_dns_a,
160,86,150,r_dns_a,
161,86,150,r_dns_a,
162,86,150,r_dns_a,
163,86,150,r_dns_a,
164,86,150,r_dns_a,
165,86,150,r_dns_a,
166,86,150,r_dns_a,
167,86,150,r_dns_a,
168,86,150,r_dns_a,
86,27,60,r_asn,
88,11,60,r_cidr,
169,88,150,r_dns_a,
170,88,150,r_dns_a,
171,88,150,r_dns_a,
172,88,150,r_dns_a,
173,88,150,r_dns_a,
174,88,150,r_dns_a,
175,88,150,r_dns_a,
176,88,150,r_dns_a,
177,88,150,r_dns_a,
178,88,150,r_dns_a,
179,88,150,r_dns_a,
180,88,150,r_dns_a,
181,88,150,r_dns_a,
182,88,150,r_dns_a,
25,88,150,r_dns_a,
26,88,150,r_dns_a,
88,27,60,r_asn,
90,11,60,r_cidr,
183,90,150,r_dns_a,
184,90,150,r_dns_a,
185,90,150,r_dns_a,
186,90,150,r_dns_a,
187,90,150,r_dns_a,
188,90,150,r_dns_a,
189,90,150,r_dns_a,
190,90,150,r_dns_a,
191,90,150,r_dns_a,
192,90,150,r_dns_a,
193,90,150,r_dns_a,
194,90,150,r_dns_a,
195,90,150,r_dns_a,
196,90,150,r_dns_a,
197,90,150,r_dns_a,
90,27,60,r_asn,
92,11,60,r_cidr,
198,92,150,r_dns_a,
199,92,150,r_dns_a,
200,92,150,r_dns_a,
201,92,150,r_dns_a,
202,92,150,r_dns_a,
203,92,150,r_dns_a,
204,92,150,r_dns_a,
205,92,150,r_dns_a,
206,92,150,r_dns_a,
207,92,150,r_dns_a,
208,92,150,r_dns_a,
209,92,150,r_dns_a,
210,92,150,r_dns_a,
211,92,150,r_dns_a,
212,92,150,r_dns_a,
92,27,60,r_asn,
26,213,150,r_cert,
25,214,150,r_cert,
23,215,150,r_dns_a,
23,216,150,r_cert,
59,217,150,r_dns_a,
59,218,150,r_cert,
58,219,150,r_dns_a,
58,220,150,r_cert,
57,221,150,r_dns_a,
57,222,150,r_cert,
56,223,150,r_dns_a,
56,224,150,r_cert,
55,225,150,r_dns_a,
55,226,150,r_cert,
54,219,150,r_dns_a,
54,227,150,r_cert,
53,228,150,r_dns_a,
53,229,150,r_cert,
52,230,150,r_dns_a,
52,231,150,r_cert,
51,232,150,r_dns_a,
51,233,150,r_cert,
50,234,150,r_dns_a,
50,235,150,r_cert,
49,236,150,r_dns_a,
49,237,150,r_cert,
48,223,150,r_dns_a,
48,238,150,r_cert,
47,239,150,r_dns_a,
46,240,150,r_dns_a,
46,241,150,r_cert,
45,242,150,r_dns_a,
45,243,150,r_cert,
44,217,150,r_dns_a,
44,244,150,r_cert,
24,245,150,r_cert,
43,219,150,r_dns_a,
43,246,150,r_cert,
42,219,150,r_dns_a,
41,239,150,r_dns_a,
41,247,150,r_cert,
40,248,150,r_dns_a,
40,249,150,r_cert,
39,219,150,r_dns_a,
39,250,150,r_cert,
38,251,150,r_dns_a,
37,221,150,r_dns_a,
37,252,150,r_cert,
36,232,150,r_dns_a,
36,253,150,r_cert,
35,217,150,r_dns_a,
35,254,150,r_cert,
34,255,150,r_dns_a,
34,256,150,r_cert,
33,257,150,r_dns_a,
33,258,150,r_cert,
32,259,150,r_dns_a,
32,260,150,r_cert,
31,232,150,r_dns_a,
31,261,150,r_cert,
30,262,150,r_dns_a,
30,263,150,r_cert,
29,219,150,r_dns_a,
29,264,150,r_cert,
28,240,150,r_dns_a,
28,265,150,r_cert,
240,11,60,r_cidr,
137,240,150,r_dns_a,
266,240,150,r_dns_a,
267,240,150,r_dns_a,
204,240,150,r_dns_a,
268,240,150,r_dns_a,
176,240,150,r_dns_a,
101,240,150,r_dns_a,
269,240,150,r_dns_a,
270,240,150,r_dns_a,
271,240,150,r_dns_a,
272,240,150,r_dns_a,
273,240,150,r_dns_a,
166,240,150,r_dns_a,
274,240,150,r_dns_a,
210,240,150,r_dns_a,
275,240,150,r_dns_a,
240,27,60,r_asn,
219,11,60,r_cidr,
276,219,150,r_dns_a,
139,219,150,r_dns_a,
277,219,150,r_dns_a,
278,219,150,r_dns_a,
279,219,150,r_dns_a,
280,219,150,r_dns_a,
281,219,150,r_dns_a,
143,219,150,r_dns_a,
282,219,150,r_dns_a,
65,219,150,r_dns_a,
283,219,150,r_dns_a,
284,219,150,r_dns_a,
285,219,150,r_dns_a,
151,219,150,r_dns_a,
286,219,150,r_dns_a,
232,11,60,r_cidr,
155,232,150,r_dns_a,
60,232,150,r_dns_a,
62,232,150,r_dns_a,
287,232,150,r_dns_a,
185,232,150,r_dns_a,
288,232,150,r_dns_a,
289,232,150,r_dns_a,
290,232,150,r_dns_a,
291,232,150,r_dns_a,
292,232,150,r_dns_a,
293,232,150,r_dns_a,
294,232,150,r_dns_a,
295,232,150,r_dns_a,
150,232,150,r_dns_a,
296,232,150,r_dns_a,
178,232,150,r_dns_a,
297,232,150,r_dns_a,
217,11,60,r_cidr,
298,217,150,r_dns_a,
299,217,150,r_dns_a,
158,217,150,r_dns_a,
145,217,150,r_dns_a,
300,217,150,r_dns_a,
173,217,150,r_dns_a,
66,217,150,r_dns_a,
129,217,150,r_dns_a,
301,217,150,r_dns_a,
302,217,150,r_dns_a,
73,217,150,r_dns_a,
130,217,150,r_dns_a,
180,217,150,r_dns_a,
77,217,150,r_dns_a,
303,217,150,r_dns_a,
217,27,60,r_asn,
221,11,60,r_cidr,
183,221,150,r_dns_a,
199,221,150,r_dns_a,
304,221,150,r_dns_a,
305,221,150,r_dns_a,
306,221,150,r_dns_a,
307,221,150,r_dns_a,
104,221,150,r_dns_a,
308,221,150,r_dns_a,
309,221,150,r_dns_a,
196,221,150,r_dns_a,
221,27,60,r_asn,
239,11,60,r_cidr,
310,239,150,r_dns_a,
140,239,150,r_dns_a,
311,239,150,r_dns_a,
312,239,150,r_dns_a,
313,239,150,r_dns_a,
314,239,150,r_dns_a,
315,239,150,r_dns_a,
316,239,150,r_dns_a,
317,239,150,r_dns_a,
192,239,150,r_dns_a,
239,27,60,r_asn,
223,11,60,r_cidr,
318,223,150,r_dns_a,
319,223,150,r_dns_a,
320,223,150,r_dns_a,
156,223,150,r_dns_a,
321,223,150,r_dns_a,
322,223,150,r_dns_a,
127,223,150,r_dns_a,
323,223,150,r_dns_a,
103,223,150,r_dns_a,
324,223,150,r_dns_a,
325,223,150,r_dns_a,
326,223,150,r_dns_a,
121,223,150,r_dns_a,
223,27,60,r_asn,
